1765614447065242_1795685597391460,photo,Trả lời thật lòng đi. ;),,https://www.facebook.com/Baophunuviet/photos/a.1795685580724795.1073741828.1765614447065242/1795685540724799/?type=3,2017-12-30 23:20:30,4,1,1
1765614447065242_1795136864113000,video,"Đến hẹn lại lên, đầu năm xuân mới, vấn đề thưởng Tết lại được dư luận xã hội quan tâm.
Có ai tò mò muốn biết mình được thưởng bao nhiêu không?","Đến hẹn lại lên, đầu năm xuân mới, vấn đề thưởng Tết lại được dư luận xã hội quan tâm.",https://www.facebook.com/Baophunuviet/videos/1795136814113005/,2017-12-29 15:11:25,3,0,0
1765614447065242_1794733537486666,link,"Có ai hóng không???
http://baophunuviet.com/vi/news/orange-cate/BAO-PHU-NU-VIET-30-diem-CU-THE-ban-phao-hoa-dip-Tet-Duong-va-Tet-Nguyen-dan-2018-biet-de-dan-GAU-di-choi-184/","BAO PHU NU VIET- 30 điểm CỤ THỂ bắn pháo hoa dịp Tết Dương và Tết Nguyên đán 2018, biết để dẫn ‘GẤU’ đi chơi - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/orange-cate/BAO-PHU-NU-VIET-30-diem-CU-THE-ban-phao-hoa-dip-Tet-Duong-va-Tet-Nguyen-dan-2018-biet-de-dan-GAU-di-choi-184/,2017-12-28 14:54:19,2,0,0
1765614447065242_1791960744430612,video,500 gram ma tuý đã bị thu giữ khi vận chuyển trái phép!,500 gram ma tuý đã bị thu giữ khi vận chuyển trái phép!,https://www.facebook.com/Baophunuviet/videos/1791960651097288/,2017-12-26 16:26:58,3,0,0
1765614447065242_1790561434570543,video,"Buôn bán người hiện không chỉ là phụ nữ, trẻ em mà cả nam giới và trẻ sơ sinh
Các đối tượng người Việt Nam hoạt động ở 63 tỉnh thành.",Các đối tượng người Việt Nam hoạt động ở 63 tỉnh thành.,https://www.facebook.com/Baophunuviet/videos/1790559247904095/,2017-12-24 10:23:22,11,2,1
1765614447065242_1785966398363380,video,"Clip lấy đi nước mắt của hàng triệu chị em phụ nữ
Tôi đã khóc khi xem clip này.",Clip lấy đi nước mắt của hàng triệu chị e phụ nữ,https://www.facebook.com/Baophunuviet/videos/1785964498363570/,2017-12-12 16:36:00,73,1,2
1765614447065242_1785878188372201,video,La Nina xuất hiện mùa đông năm nay lạnh hơn so với 10 năm trở lại đây.,La Nina xuất hiện mùa đông năm nay lạnh hơn so với 10 năm trở ...,https://www.facebook.com/Baophunuviet/videos/1785877911705562/,2017-12-12 10:12:13,77,1,1
1765614447065242_1785549605071726,video,"Mỗi năm nước ta có hơn 100.000 phụ nữ bị ung thư cổ tử cung vì băng vệ sinh giả kém chất lượng được làm từ bông cuộn, các nguyên liệu thừa...
Thế này chị em phụ nữ biết làm sao??? Hãy chia sẻ để người thân, mọi người cũng biết.",Mỗi năm nước ta có hơn 100.000 phụ nữ bị ung thư cổ tử cung vì...,https://www.facebook.com/Baophunuviet/videos/1785549135071773/,2017-12-11 13:55:40,68,0,1
1765614447065242_1785213238438696,link,"Sở hữu làn da trắng ngần không tì vết, nhan sắc xinh đẹp cùng thần thái cuốn hút, mỹ nhân này chính là viên ngọc hiếm có của làng giải trí kim chi.

Mỹ nhân may mắn này xuất thân là một người mẫu ảnh với cái tên Yoon Sun Young. Chỉ với vài bức ảnh chân dung đẹp xuấy thần, Yoon Sun Young đã nhanh chóng trở thành đối tượng của 3 nhà tìm kiếm tài năng lớn nhất Kpop như: YG, SM và JYP.

http://baophunuviet.com/vi/news/orange-cate/Lo-dien-my-nhan-xinh-dep-tai-nang-khien-3-ong-lon-YG-SM-va-JYP-phai-tranh-gianh-183/","Lộ diện mỹ nhân xinh đẹp, tài năng khiến 3 ""ông lớn"" YG, SM và JYP phải ""tranh giành"" - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/orange-cate/Lo-dien-my-nhan-xinh-dep-tai-nang-khien-3-ong-lon-YG-SM-va-JYP-phai-tranh-gianh-183/,2017-12-10 16:56:06,69,0,0
1765614447065242_1784387898521230,link,"Quốc gia hào phóng nhất thế giới, ‘cho không’ người dân 58 triệu/ tháng nhưng 77% dân số vẫn từ chối :-o. 

http://baophunuviet.com/vi/news/light-blue-cate/Quoc-gia-hao-phong-nhat-the-gioi-cho-khong-nguoi-dan-58-trieu-thang-nhung-77-dan-so-van-tu-choi-182/","Quốc gia hào phóng nhất thế giới, ‘cho không’ người dân 58 triệu/ tháng nhưng 77% dân số vẫn từ chối - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/light-blue-cate/Quoc-gia-hao-phong-nhat-the-gioi-cho-khong-nguoi-dan-58-trieu-thang-nhung-77-dan-so-van-tu-choi-182/,2017-12-08 14:02:40,214,0,0
1765614447065242_1783952728564747,video,"1 triệu đồng đổi được 7 triệu tiền giả quá hời đúng không?
Vì hám lợi, nhiều người đã rơi vào bẫy “tiền giả, hậu quả thật”.",1 triệu đồng đổi được 7 triệu tiền giả,https://www.facebook.com/Baophunuviet/videos/1783952548564765/,2017-12-07 10:59:51,93,0,4
1765614447065242_1783928315233855,video,"Sắp đến tết mứt bẩn lại chuẩn bị được đóng gói ra thị trường
Hãy chia sẻ để mọi người cùng biết :'( :'(",Sắp đến tết mứt bẩn lại chuẩn bị được đóng gói ra thị trường,https://www.facebook.com/Baophunuviet/videos/1783927565233930/,2017-12-07 09:11:28,59,0,2
1765614447065242_1781968215429865,link,"Không chỉ dựng rạp to như lâu đài, rước dâu bằng xe Bentley, mời cả ""chị Tư"" Cẩm Ly về hát, đám cưới này còn gây ""loá mắt"" theo đúng nghĩa đen với số lượng vàng mà cô dâu, chú rể đeo trên người.
http://baophunuviet.com/vi/news/orange-cate/BAOPHUNUVIET-Danh-tinh-co-dau-21-tuoi-vang-deo-nang-co-duoc-Cam-Ly-hat-mung-o-Dong-Nai-181/","BAOPHUNUVIET - Danh tính cô dâu 21 tuổi ""vàng đeo nặng cổ"", được Cẩm Ly hát mừng ở Đồng Nai - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/orange-cate/BAOPHUNUVIET-Danh-tinh-co-dau-21-tuoi-vang-deo-nang-co-duoc-Cam-Ly-hat-mung-o-Dong-Nai-181/,2017-12-02 09:05:53,48,0,0
1765614447065242_1781725182120835,link,"“Sao lại đánh con tôi? Sao lại đánh con tôi như vậy?”. Đó cũng chính là câu hỏi mà bao nhiêu người muốn biết câu trả lời.
http://baophunuviet.com/vi/news/Doi-song-28/BAOPHUNUVIET-Khi-nhin-thay-co-giao-o-don-cong-an-be-noi-Me-oi-co-Giao-buonde-con-rot-nuoc-cho-co-180/","BAOPHUNUVIET - Khi nhìn thấy cô giáo ở đồn công an bé nói Mẹ ơi, cô Giáo buồn,để con rót nước cho cô - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/Doi-song-28/BAOPHUNUVIET-Khi-nhin-thay-co-giao-o-don-cong-an-be-noi-Me-oi-co-Giao-buonde-con-rot-nuoc-cho-co-180/,2017-12-01 19:04:41,44,1,0
1765614447065242_1781661682127185,link,"Thông tin trước khi cháu Minh Anh bị tử vong, vợ chồng anh Thuận, chị Huyền đã có một bé gái và cháu cũng đột tử khi bà Phạm Thị Xuân trông giữ.
http://baophunuviet.com/vi/news/Thoi-su-86/BAOPHUNUVIET-Cong-an-TP-Thanh-Hoa-he-lo-su-that-soc-ve-tin-bo-me-chau-be-20-ngay-tuoi-bi-ba-noi-sat-hai-tung-co-mot-be-gai-bi-chet-dot-tu-179/","BAOPHUNUVIET - Công an TP Thanh Hóa hé lộ sự thật sốc về tin bố mẹ cháu bé 20 ngày tuổi bị bà nội sát hại từng có một bé gái bị chết đột tử - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đìn",http://baophunuviet.com/vi/news/Thoi-su-86/BAOPHUNUVIET-Cong-an-TP-Thanh-Hoa-he-lo-su-that-soc-ve-tin-bo-me-chau-be-20-ngay-tuoi-bi-ba-noi-sat-hai-tung-co-mot-be-gai-bi-chet-dot-tu-179/,2017-12-01 15:39:58,9,0,0
1765614447065242_1781559122137441,link,"Câu kỷ tử có vị ngọt dịu có tác dụng bồi bổ tinh khí, hỗ trợ điều trị bệnh tiểu đường, giúp làm tăng thị lực của mắt và chứng tê mỏi chân tay ở người già, trị chứng táo bón và di tinh mộng tinh ở nam giới, chống oxy hóa và làm chậm quá trình lão hóa.....
http://baophunuviet.com/vi/news/Suc-khoe/BAOPHUNUVIET-4-loai-do-uong-thach-thuc-thoi-tiet-khi-dong-ve-177/","BAOPHUNUVIET - 4 loại đồ uống thách thức thời tiết khi đông về - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/Suc-khoe/BAOPHUNUVIET-4-loai-do-uong-thach-thuc-thoi-tiet-khi-dong-ve-177/,2017-12-01 10:14:58,0,0,0
1765614447065242_1781115595515127,link,"Có một sự thật là, hoa sữa đang trở thành nỗi ám ảnh của rất nhiều người sinh sống, học tập và làm việc tại Thủ đô. Đặc biệt là vào những ngày cuối tháng 11, đầu tháng 12, khi hoa sữa đương thì nở rộ, đậm
hương.
http://baophunuviet.com/vi/news/Doi-song-28/BAOPHUNUVIETNhung-tuyen-duong-hoa-sua-noi-so-cua-nhieu-nguoi-176/","BAOPHUNUVIET- Những tuyến đường hoa sữa - nỗi sợ của nhiều người - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/Doi-song-28/BAOPHUNUVIETNhung-tuyen-duong-hoa-sua-noi-so-cua-nhieu-nguoi-176/,2017-11-30 09:43:52,1,0,0
1765614447065242_1779888715637815,link,"Đông lạnh lại về, Cúc họa mi thu hút giới trẻ Hà Thành.

Mùa hoa này thường rất ngắn ngủi, chỉ khoảng 1 tháng.
Cứ mỗi dịp Tháng 11, khi tiết trời bắt đầu se se lạnh, khắp ngả đường, góc phố lại tràn ngập một màu trắng muốt của những bông cúc trắng nhỏ xinh. Thấy cúc hoạ mi cũng là thấy mùa đông về.
Cúc họa mi sẽ không được chú ý nhiều đến thế nếu như không phải vì thời điểm xuất hiện, vào những ngày chớm đông, đến thật nhanh và đi cũng thật nhanh. Hoa cúc họa mi chỉ nở có 1 mùa duy nhất trong thời gian rất ngắn 2,3 tuần rồi lại hết.
Hoa cúc họa mi trắng mỏng manh và tinh tế, rất nồng nhiệt và chân thành như trong tình yêu, sự chân thành tinh khiết của con người Việt Nam.
Mùa Cúc họa mi cũng là khởi đầu mùa chụp ảnh khi thời tiết sang đông của các bạn trẻ.

http://baophunuviet.com/vi/news/orange-cate/Dong-lanh-lai-ve-Cuc-hoa-mi-thu-hut-gioi-tre-Ha-Thanh-175/","Đông lạnh lại về, Cúc họa mi thu hút giới trẻ Hà Thành. - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/orange-cate/Dong-lanh-lai-ve-Cuc-hoa-mi-thu-hut-gioi-tre-Ha-Thanh-175/,2017-11-27 07:50:49,505,0,0
1765614447065242_1779259212367432,video,,Đài Phát thanh và Truyền hình Bắc Giang,https://www.facebook.com/bacgiangtv.vn/videos/136179920334368/,2017-11-25 20:51:52,2,0,0
1765614447065242_1779015545725132,video,"Chắc chắn bạn sẽ phải rưng rưng khi xem clip này.
:( :( :(",Chắc chắn bạn sẽ phải rưng rưng khi xem clip này.,https://www.facebook.com/Baophunuviet/videos/1779015292391824/,2017-11-25 09:51:30,7,0,2
1765614447065242_1778766945749992,video,"Ai nhức đầu - uống rượu vào sẽ hết!
Ai cãi nhau - uống rượu vào sẽ hết!
Uống rượu nhiều nó sẽ đưa ta đến....
Hãy share để mọi người cùng biết.",Ai nhức đầu - uống rượu vào sẽ hết!,https://www.facebook.com/Baophunuviet/videos/1778765545750132/,2017-11-24 19:16:53,3,0,2
1765614447065242_1778739369086083,video,Rùng mình với lời khai của osin hành hạ bé gần 2 tháng tuổi 😱,Rùng mình với lời khai của osin hành hạ bé gần 2 tháng tuổi,https://www.facebook.com/Baophunuviet/videos/1778739209086099/,2017-11-24 17:49:36,5,1,1
1765614447065242_1778705755756111,video,"Giáo dục kỹ năng sống cho học sinh
Hãy nghe và cảm nhận <3 <3",Giáo dục kỹ năng sống cho học sinh,https://www.facebook.com/Baophunuviet/videos/1778705679089452/,2017-11-24 15:35:57,8,0,2
