421330731580681_485844935129260,video,"Giảm cân thôi chị em ơi :(((
Chị em ăn uống gắng giữ mồm miệng :( Đừng để thế này nhé :(((((",Phụ nữ 30,https://www.facebook.com/Phunu360/videos/1880314718956405/,2017-08-25 16:35:00,6,0,0
421330731580681_448149632232124,link,Mang điện thoại vào nhà vệ sinh chẳng khác nào đi xong mà không... rửa tay.,Bạn sẽ không còn dám mang điện thoại vào nhà vệ sinh sau khi biết các tác hại ghê gớm này - Vietnam24h,http://www.vietnam24h.site/ban-se-khong-con-dam-mang-dien-thoai-vao-nha-ve-sinh-sau-khi-biet-cac-tac-hai-ghe-gom-nay-20170608.html?so=50,2017-06-08 22:40:00,3,0,3
421330731580681_448007238913030,link,"Cảnh sát tìm thấy trong balo Vinh vứt lại hiện trường một con dao nhọn, cùng tờ hóa đơn rút tiền ATM mờ chữ.",Truy bắt kẻ cướp tiệm vàng từ tờ hóa đơn rút tiền - Vietnam24h,http://www.vietnam24h.site/to-hoa-don-rut-tien-la-manh-moi-truy-tim-ke-cuop-tiem-vang-20170607.html?so=50,2017-06-08 15:40:00,4,0,0
421330731580681_447998755580545,link,"Honda CR-V giảm giá đến 150 triệu đồng, trong khi nhiều dòng xe khác cũng giảm giá sâu trong tháng 6.","Ôtô tiếp tục giảm giá trong tháng 6, nhiều nhất 150 triệu - Vietnam24h",http://www.vietnam24h.site/oto-tiep-tuc-giam-gia-trong-thang-6-nhieu-nhat-150-trieu-20170608.html?so=50,2017-06-08 15:00:00,12,1,0
421330731580681_447987065581714,link,Ít nhất 1 người tử vong và 5 người khác bị thương phải nhập viện khi xe khách chở đoàn học sinh cấp 3 Hải Phòng đi du lịch ở Tam Đảo đâm vào vách núi.,Xe 45 chỗ chở học sinh đi du lịch đâm vào vách núi - Vietnam24h,http://www.vietnam24h.site/xe-45-cho-cho-hoc-sinh-di-du-lich-dam-vao-vach-nui-20170608.html?so=50,2017-06-08 14:20:00,38,2,8
421330731580681_447981605582260,link,"Ép tài xế chiếc Mazda CX5 dừng lại, Trần Anh nổ hai phát súng vào kính, những người khác cầm kiếm, dao đập phá xe.","Bắn vỡ kính, vung kiếm 'chém nát' ôtô của đối thủ kinh doanh - Vietnam24h",http://www.vietnam24h.site/ban-vo-kinh-vung-kiem-chem-nat-oto-cua-doi-thu-kinh-doanh-20170608.html?so=50,2017-06-08 14:00:00,1,0,0
421330731580681_447958178917936,link,"iPhone bị khai tử là để khai sinh ra một khái niệm mới, nơi vạn vật xung quanh người dùng đều có thể trở thành một chiếc iPhone.","Với iOS 11, ngày iPhone bị khai tử không còn xa - Vietnam24h",http://www.vietnam24h.site/voi-ios-11-ngay-iphone-bi-khai-tu-khong-con-xa-20170608.html?so=50,2017-06-08 13:00:00,1,0,0
421330731580681_447895945590826,link,"Vì thói quen không bao giờ mang tiền mặt, cặp đôi Trấn Thành – Hari Won không ít lần gặp phải tình huống “giở khóc, giở cười” khi đi ăn.","Giàu có như vợ chồng Trấn Thành – Hari Won, mà cứ hễ đi ăn là lại ê chề vì quên mang tiền! - Vietnam24h",http://www.vietnam24h.site/giau-co-nhu-vo-chong-tran-thanh-hari-won-ma-cu-he-di-an-la-lai-e-che-vi-quen-mang-tien-20170608.html?so=50,2017-06-08 09:40:00,46,1,0
421330731580681_447883445592076,link,Người đàn ông mang mặt nạ sắt bí ẩn đó là ai - là câu hỏi mà các nhà khoa học vẫn cặm cụi đi tìm suốt bao năm nay.,"""Người đàn ông mang mặt nạ sắt"" - bí ẩn lịch sử “đánh đố” nhân loại hơn 350 năm qua - Vietnam24h",http://www.vietnam24h.site/nguoi-dan-ong-mang-mat-na-sat-bi-an-lich-su-danh-do-nhan-loai-hon-350-nam-qua-20170607.html?so=50,2017-06-08 09:20:00,0,0,0
421330731580681_440452079668546,photo,,Thời Sự 24h's cover photo,https://www.facebook.com/421330731580681/photos/a.421330831580671.1073741827.421330731580681/440452003001887/?type=3,2017-05-23 20:58:01,0,0,0
421330731580681_440450143002073,photo,,Thời Sự 24h,https://www.facebook.com/421330731580681/photos/a.421330754914012.1073741825.421330731580681/440450053002082/?type=3,2017-05-23 20:54:05,5,0,0
421330731580681_421330858247335,photo,,Thời Sự 24h,https://www.facebook.com/421330731580681/photos/a.421330754914012.1073741825.421330731580681/421330764914011/?type=3,2017-04-13 14:46:01,133,33,2
