515904508762042_555328614819631,video,Đừng băng trụ emmm,Fail dive,https://www.facebook.com/banhbaochienriven/videos/555328614819631/,2017-12-31 03:28:44,507,15,3
515904508762042_554981591521000,link,https://gaming.youtube.com/c/kustylefake/live,"Đánh chuỗi cao thủ cho acc phụ, bệnh rồi hôm nay ko cam nhé.. - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-30 08:29:05,25,1,1
515904508762042_554972118188614,status,"Hôm nay mình bệnh, nhưng vẫn stream đánh chuỗi cao thủ cho acc phụ mà ko bật Cam. Tí lên mình post link nhé <3",,,2017-12-30 07:51:33,246,5,0
515904508762042_554520514900441,link,https://gaming.youtube.com/c/kustylefake/live,"Mở cam lại, một phút lặng yên bắt đầu. - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-29 07:47:14,32,0,0
515904508762042_553692801649879,link,https://gaming.youtube.com/c/kustylefake/live,"Tập làm quen với camera, chưa hết ngại má ưiiis - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-27 07:20:17,38,1,1
515904508762042_553387598347066,status,"Mới đầu mở cam ngại vl, nói ko lên lời, giả vờ đi vệ sinh để cái ghế thế mạng =)). Dần rồi cũng quen, nc thoải mái hơn đc tí >,<.
p/s: Cũng khá vui mặc dù stream mạng bị lag liên miên mà vẫn có nhiều người xem liên tục vào buổi sáng, cám ơn mọi người <3.",,,2017-12-26 13:35:04,663,49,0
515904508762042_553309161688243,link,https://gaming.youtube.com/c/kustylefake/live,"Mic mới, Cam mới, lần đầu mở Cam ngại gần chớt... - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-26 08:18:24,71,0,4
515904508762042_553247721694387,photo,"New mic, new cam.",,https://www.facebook.com/banhbaochienriven/photos/a.516396792046147.1073741828.515904508762042/553247671694392/?type=3,2017-12-26 04:12:45,447,27,1
515904508762042_552820348403791,status,"Hôm nay mình ko stream nha. Nếu đi chơi về sớm thì mình lên, mọi người Noel vui vẻ nhé <3",,,2017-12-25 07:04:50,313,22,0
515904508762042_552401305112362,link,https://gaming.youtube.com/c/kustylefake/live,"Ae thi xong chưa, thi xong tốt thì vào xem stream xả stress nhaaa - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-24 09:38:35,35,0,1
515904508762042_552389831780176,status,"Hôm nay mình lại lên trễ nhé, lên sớm ồn ko bật mic đc. Khi nào mấy đứa em ngủ rồi mình lên hehe",,,2017-12-24 08:51:20,241,9,0
515904508762042_551956885156804,status,"hôm nay mình stream hơi trễ nha ae, cỡ 1-2 tiếng nữa mình lên",,,2017-12-23 08:08:14,195,4,0
515904508762042_551910288494797,photo,"Off stream try hard, lên lại rồi. Giờ qua cày acc phụ <3",,https://www.facebook.com/banhbaochienriven/photos/a.516396792046147.1073741828.515904508762042/551910118494814/?type=3,2017-12-23 04:34:20,416,16,0
515904508762042_551625881856571,status,"Mạng hôm nay bị gì thế nhỉ, giật tung nách cả ngày @@",,,2017-12-22 11:28:12,380,15,1
515904508762042_551600811859078,link,"https://gaming.youtube.com/c/kustylefake/live
Stream đã được ổn định, 30' trước off giờ lên lại. Đã sửa mạng xong <3","Ae thi xong chưa, thi xong tốt thì vào xem stream xả stress nhaaa - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-22 09:50:52,22,2,0
515904508762042_551092888576537,link,"https://gaming.youtube.com/c/kustylefake/live
Stream on","Ae thi xong chưa, thi xong tốt thì vào xem stream xả stress nhaaa - YouTube Gaming",https://gaming.youtube.com/c/kustylefake/live,2017-12-21 07:24:09,20,2,0
515904508762042_551081361911023,photo,"Adrian, CJ, TF Blade, Bánh Bao Chiên. 4 thằng top main cùng chung 1 team =))",,https://www.facebook.com/banhbaochienriven/photos/a.516396792046147.1073741828.515904508762042/551081185244374/?type=3,2017-12-21 06:35:55,445,15,8
515904508762042_550779561941203,status,"hôm nay mình end stream sớm vì mình mất hứng chơi, stream cho ae coi vui mà tự nhiên ae vào chửi lộn với nhau chỉ vì cái ""vùng miền"", chơi game thì liên quan mẹ gì tới vùng miền mà chửi nhau trong đấy. Đã thiếu mod, ko ai quản trong lúc mình stream rồi mà ae còn ko tự ý thức. Hy vọng lần sau chuyện này ko diễn ra thêm lần nữa.",,,2017-12-20 12:38:58,350,21,2
515904508762042_550270961992063,link,https://gaming.youtube.com/user/kustylefake/live,"Ae thi xong chưa, thi xong tốt thì vào xem stream xả stress nhaaa - YouTube Gaming",https://gaming.youtube.com/user/kustylefake/live,2017-12-19 07:43:18,19,1,0
515904508762042_549951075357385,photo,"cả acc phụ và acc chính gần sát rank với nhau, vậy acc nào là phụ đây???
p/s: bạn nào lên tizi vào cmt điểm danh điiii",,https://www.facebook.com/banhbaochienriven/photos/a.516396792046147.1073741828.515904508762042/549950945357398/?type=3,2017-12-18 12:48:54,496,53,1
